backend,model,no,sektor,kl,sub_indikator,gold,pred,benar,status,confidence,summary_pred,source_url_pred,url_dari_search,n_search,latency_s,in_tok,out_tok,queries,error,summary_gold
tavily,gemma-4-26B-A4B-it,1,Kesehatan,KEMENTERIAN KESEHATAN,KP 02.12.08 - Kabupaten/kota yang mendeklarasikan 5 Pilar STBM,True,True,True,OK,tinggi,"Program pelaksanaan indikator berjalan pada tahun 2025, ditandai dengan adanya kegiatan verifikasi lapangan oleh Tim Kementerian Kesehatan RI bersama Dinas Kesehatan Provinsi Jawa Timur terhadap calon daerah deklarasi 5 Pilar STBM di Kota Malang pada Oktober 2025. Selain itu, terdapat bukti pelaksanaan deklarasi di tingkat kabupaten/kecamatan (seperti di Kabupaten Dompu) yang menunjukkan aktivitas program terus berlangsung.",https://malangkota.go.id/2025/10/01/verifikator-stbm-5-pilar-kunjungi-kota-malang,True,1,8.88,2482,188,jumlah kabupaten kota deklarasi 5 pilar STBM 2025 laporan kinerja Kementerian Kesehatan,,"Program berjalan, ditandai dengan penetapan alokasi anggaran daerah untuk survei verifikasi 5 pilar dan deklarasi level provinsi/kabupaten/kota."
tavily,gemma-4-26B-A4B-it,2,Pertahanan,KEMENTERIAN LUAR NEGERI,KP 02.09.03 - Persentase kebijakan di bidang kerja sama pembangunan internasional Indonesia yang telah sesuai dengan prioritas nasional,True,True,True,OK,tinggi,Indikator KP 02.09.03 tercantum dalam dokumen Program Kerja Kementerian Luar Negeri Tahun 2025 (e-PPID Kemlu) sebagai bagian dari sasaran strategis 'Menguatnya Kerja Sama Pembangunan Internasional'. Dokumen tersebut secara eksplisit menetapkan target sebesar 20% untuk tahun 2025 dengan alokasi anggaran sebesar Rp6.562.358.000 yang dijadwalkan berjalan pada periode 1-31 Desember 2025.,https://e-ppid.kemlu.go.id/storage/2772/Program-Kerja-Kementerian-Luar-Negeri-2025.pdf,True,2,13.92,5131,289,"Laporan Kinerja Kementerian Luar Negeri 2025 KP 02.09.03 persentase kebijakan kerja sama pembangunan internasional | site:kemlu.go.id ""KP 02.09.03"" atau ""Persentase kebijakan di bidang kerja sama pembangunan internasional"" 2025",,"Program berjalan, ditandai dengan pelaksanaan sejumlah aktivitas konkret kerja sama pembangunan internasional oleh Kemlu sepanjang Tahun 2025, seperti pertemuan bilateral dan kesepakatan kerja sama dengan negara mitra di kawasan Pasifik, penyaluran bantuan pangan dan kemanusiaan ke Palestina yang diumumkan langsung oleh Menlu/Wamenlu, serta penyusunan kebijakan turunan (Grand Design dan aturan hibah) yang diselaraskan dengan RPJMN 2025-2029. Aktivitas ini tercatat lewat rilis resmi Kemlu maupun Sekretariat Negara, meskipun angka persentase realisasi kebijakan sesuai prioritas nasional untuk Tahun 2025 belum dipublikasikan secara spesifik."
tavily,gemma-4-26B-A4B-it,3,Industri,KEMENTERIAN LUAR NEGERI,"KP 02.09.04 - Persentase keberhasilan promosi, pembentukan norma, dan kesepakatan diplomasi ekonomi terutama pada sektor prioritas",True,True,True,OK,tinggi,"Indikator ini merupakan bagian dari prioritas diplomasi ekonomi dalam Renstra Kementerian Luar Negeri 2025-2029. Berdasarkan dokumen Renstra KSPI 2025-2029 dan Renstra KBRI Moskow 2025-2029, Kementerian Luar Negeri telah menetapkan target dan menjalankan program diplomasi ekonomi (perdagangan, investasi, dan pariwisata) sebagai pilar utama kebijakan luar negeri pada tahun 2025. Meskipun laporan realisasi angka persentase spesifik untuk seluruh Indonesia tahun 2025 belum dipublikasikan secara agregat (karena tahun berjalan), dokumen perencanaan resmi menunjukkan bahwa kegiatan promosi dan pembentukan norma ekonomi telah masuk dalam agenda pelaksanaan tahun 2025.",https://kemlu.go.id/files/repositori/83699/177219501969a18ccb68e5e_Renstra__KSPI_2025_sd_2029_fin.pdf,True,2,14.62,5330,328,"laporan kinerja Kementerian Luar Negeri 2025 diplomasi ekonomi sektor prioritas | site:kemlu.go.id ""diplomasi ekonomi"" 2025",,"Program berjalan, ditandai dengan penetapan oleh Kemenlu melalui Ditjen Hubungan Ekonomi dan Kerja Sama Pembangunan (HEKSP) terkait indikator ini sebagai indikator kinerja utama dan melaporkan capaiannya dalam Laporan Kinerja Tahun 2025. Realisasi tercatat 93,75 persen terhadap target 80 persen, dengan capaian 117,19 persen, berasal dari 7 norma dan 4 kesepakatan yang terealisasi dari target 8 norma dan 4 kesepakatan. Pelaksanaannya didukung partisipasi Indonesia pada berbagai forum seperti Sidang UNIDO ke-21, KTM UNCTAD ke-16, WTO CTE, WIPO SCCR-47, dan Codex Alimentarius sepanjang 2025."
tavily,gemma-4-26B-A4B-it,4,Sosial,KEMENTERIAN LUAR NEGERI,KP 07.16.02 - Indeks Diplomasi Perlindungan WNI di Luar Negeri,True,True,True,OK,tinggi,"Indikator ini sedang dalam tahap pelaksanaan pada tahun 2025. Berdasarkan Peraturan Menteri Luar Negeri Nomor 10 Tahun 2025 tentang Renstra K/L 2025-2029, target Indeks Diplomasi Pelindungan WNI di Luar Negeri untuk tahun 2025 ditetapkan sebesar 98.70. Bukti pelaksanaan operasional di lapangan juga terlihat dari dokumen Laporan Kinerja (LKj) perwakilan RI (seperti KBRI Ankara) yang mencantumkan program Pelindungan WNI sebagai salah satu program utama yang dijalankan pada tahun anggaran 2025.",https://kemlu.go.id/files/repositori/65385/1763541433691d81b95e937_Permenlu_Nomor_10_Tahun_2025_tentang_Rencana_Strategis_Kementerian_Luar_Negeri_2025_2029.pdf,True,2,15.93,5305,333,"Laporan Kinerja Kementerian Luar Negeri 2025 Indeks Diplomasi Perlindungan WNI | site:kemlu.go.id ""Indeks Diplomasi Perlindungan WNI"" 2025",,"Program berjalan, ditandai dengan terlaksananya ketiga jalur pembentuk indeks ini sepanjang Tahun 2025 sesuai Manual Indikator Kinerja Dit. PWNI 2025, yaitu diplomasi di forum internasional, pembentukan kebijakan nasional, dan kampanye penyadaran publik. Di jalur internasional, ASEAN mengadopsi Deklarasi tentang Pemberantasan Kejahatan Siber dan Penipuan Daring pada September 2025, yang disambut Indonesia dalam pertemuan Dewan Masyarakat Politik-Keamanan ASEAN pada rangkaian KTT ASEAN ke-47 di Kuala Lumpur, 26-28 Oktober 2025. Di jalur operasional, Pemerintah memulangkan 554 WNI korban TPPO penipuan daring dari Myawaddy, Myanmar, dalam dua tahap pada 18 dan 19 Maret 2025, dengan pengawalan Tim Pelindungan WNI Kemlu bersama KBRI Bangkok dan Yangon serta Hubinter Polri, dan secara agregat 27.768 WNI dipulangkan dari berbagai situasi krisis sepanjang 2025. Di jalur kebijakan nasional, terbit Kepmenlu Nomor 15 Tahun 2025 tentang Penetapan Perwakilan Pelindungan Terpadu serta Perjanjian Kerja Sama Kemlu dengan BPJS Ketenagakerjaan pada 22 Januari 2025. Layanan Kampanye Penyadaran Publik Dit. PWNI juga terdaftar aktif dengan standar pelayanan resmi di SIPPN Kementerian PANRB."
tavily,gemma-4-26B-A4B-it,5,Pertahanan,KEMENTERIAN PERTAHANAN,KP 02.01.01 - Persentase pemenuhan alutsista,True,True,True,OK,tinggi,"Kegiatan pemenuhan alutsista berjalan pada tahun 2025, ditandai dengan adanya rapat pembahasan litbang pemenuhan bahan baku produksi alutsista berbasis mineral strategis pada Januari 2025, peninjauan kemampuan produksi alpalhankam oleh Wamenhan pada Februari 2025, serta penyelenggaraan ajang Indo Defence 2025 pada Juni 2025 yang menampilkan inovasi alutsista.",https://www.kemhan.go.id/batekhan/2025/01/08/rapat-pembahasan-naskah-akhir-litbang-pemenuhan-bahan-baku-produksi-alutsista-berbasis-mineral-strategis-untuk-mendukung-kemandirian-industri-pertahanan.html,True,2,9.96,4664,278,"laporan kinerja Kementerian Pertahanan 2025 pemenuhan alutsista | site:kemhan.go.id ""pemenuhan alutsista"" 2025",,"Program berjalan, ditandai dengan pelaksanaan sejumlah kegiatan modernisasi dan pemenuhan alutsista oleh Kemhan bersama TNI sepanjang Tahun 2025, seperti uji coba alutsista produksi dalam negeri, kelanjutan program alih teknologi untuk pengadaan kapal selam bersama mitra asing, hingga penambahan alutsista baru untuk memperkuat matra udara, yang dipublikasikan lewat rilis resmi di laman kemhan.go.id."
tavily,gemma-4-26B-A4B-it,6,Pangan,BADAN KARANTINA INDONESIA,KP 02.10.13 - Persentase wilayah terkendali dari Hama Penyakit Hewan Karantina (HPHK),True,False,False,OK,tinggi,"Tidak ditemukan publikasi resmi dari Badan Karantina Indonesia (Barantin) atau Bappenas yang menunjukkan realisasi angka persentase wilayah terkendali HPHK untuk tahun berjalan 2025. Hasil pencarian hanya menunjukkan dokumen umum, laporan keuangan sektor lain, atau istilah 'HPHK' dalam konteks medis/lainnya yang tidak relevan dengan indikator karantina hewan.",https://barantin.go.id,False,3,11.48,7440,229,"laporan kinerja Badan Karantina Indonesia 2025 persentase wilayah terkendali HPHK | site:barantin.go.id laporan kinerja 2025 HPHK | site:barantin.go.id ""HPHK"" 2025",,"Program berjalan, ditandai dengan terlaksananya kegiatan pemantauan daerah sebar HPHK sepanjang Tahun 2025 oleh unit pelaksana teknis Badan Karantina Indonesia di berbagai wilayah, yang dituntaskan melalui seminar hasil pemantauan tingkat regional dan nasional bersama dinas peternakan provinsi/kabupaten-kota, akademisi, dan pemangku kepentingan terkait (misalnya di Sumatera Barat dan regional Sulawesi). Pelaksanaan ini juga terkonfirmasi dari dokumen anggaran (RKA/DIPA) yang memuat komponen persiapan, pelaksanaan, dan seminar pemantauan daerah sebar HPHK, serta dari Laporan Kinerja Tahun 2025 UPT Barantin yang dipublikasikan di laman resmi dan PPID Barantin, yang memuat indikator temuan dan tindak lanjut HPHK. Angka nasional persentase wilayah terkendali dari HPHK Tahun 2025 sendiri belum ditemukan dipublikasikan."
tavily,gemma-4-26B-A4B-it,7,Infrastruktur,KEMENTERIAN PEKERJAAN UMUM,PP 02.12 - Efisiensi pemanfaatan air irigasi,True,True,True,OK,tinggi,"Program pengelolaan sumber daya air dan infrastruktur irigasi oleh Kementerian Pekerjaan Umum telah berjalan pada tahun 2025. Berdasarkan dokumen Rancangan Akhir Renstra Kementerian PU 2025-2029, indikator efisiensi pemanfaatan air irigasi merupakan indikator kunci yang ditargetkan meningkat secara bertahap dari baseline 2024 (0,31 USD/m3) menuju target 2025 (0,34 USD/m3) dan target akhir 2029 (0,43 USD/m3). Selain itu, terdapat laporan pelaksanaan program penguatan infrastruktur irigasi yang berjalan hingga Oktober 2025.",https://sahabat.pu.go.id/eppid/asset/files/Final_Narasi_Rancangan_Akhir_Renstra_Kementerian_PU_2025-2029_-_01082025_-_14_00.pdf,True,1,5.21,1887,286,realisasi efisiensi pemanfaatan air irigasi USD/m3 Kementerian Pekerjaan Umum 2025,,"Program berjalan, ditandai dengan terealisasinya pembangunan dan rehabilitasi jaringan irigasi oleh Kementerian PU sepanjang Tahun Anggaran 2025 dengan luas 589.605,80 hektare, serta terkonfirmasinya pelaksanaan pekerjaan fisik rehabilitasi jaringan irigasi di daerah melalui publikasi resmi Kementerian PU sepanjang 2025 (misalnya rehabilitasi tahap II DI Tingal di Temanggung yang progres fisiknya mencapai 60% per akhir September 2025). Target angka indikator sendiri, yaitu 0,34 USD/m³, memang tercantum sebagai sasaran kerja Kementerian PU tahun 2025 di bidang sumber daya air. Angka realisasi efisiensi pemanfaatan air irigasi tahun 2025 dalam satuan USD/m³ belum dipublikasikan, karena Laporan Kinerja Ditjen SDA terbaru yang terbit masih edisi Tahun 2024."
tavily,gemma-4-26B-A4B-it,11,Pangan,KEMENTERIAN PERTANIAN,KP 02.10.17 - Produksi vanili,False,True,False,OK,tinggi,"Produksi vanili pada tahun 2025 telah berjalan dan tercatat mengalami peningkatan. Berdasarkan Laporan Kinerja Ditjenbun 2025, produksi vanili tahun 2025 mencapai 1.286 ton, meningkat dari 1.212 ton pada tahun 2024, meskipun angka ini belum mencapai target RPJMN 2025 sebesar 1.582 ton.",https://ditjenbun.pertanian.go.id/template/uploads/2026/03/LAKIN-DITJENBUN-2025.pdf,True,1,4.46,2250,192,laporan kinerja Kementerian Pertanian 2025 produksi vanili,,"Program belum berjalan, ditandai dengan tidak ditemukannya bukti publikasi resmi yang menunjukkan adanya program peningkatan produksi vanili berjalan pada Tahun 2025. Realisasi kegiatan pengembangan kawasan tanaman semusim dan rempah Direktorat Jenderal Perkebunan Tahun 2025 diarahkan ke pala, kakao, dan tebu, tanpa vanili. Kegiatan pemerintah bertanggal 2025 yang menyinggung vanili hanya ditemukan pada balai perlindungan perkebunan tingkat provinsi, berupa pelatihan agens pengendali hayati yang sasarannya komoditas lain, sehingga tidak dapat dihitung sebagai intervensi terhadap indikator ini. Angka realisasi produksi vanili Tahun 2025 juga belum dipublikasikan."
tavily,gemma-4-26B-A4B-it,12,Pangan,KEMENTERIAN PERTANIAN,KP 02.10.18 - Persentase produksi komoditas pertanian organik terhadap produksi total komoditas pertanian,False,True,False,OK,sedang,"Berdasarkan dokumen Laporan Tahunan Pusat PVTPP (Pengujian, Verifikasi, Sertifikasi, dan Penjaminan Mutu) Tahun 2025, Kementerian Pertanian telah menjalankan kegiatan yang berkaitan dengan penjaminan mutu dan sertifikasi yang menjadi basis data produksi organik. Meskipun angka persentase spesifik 1.47% belum tercantum dalam cuplikan laporan tersebut, keberadaan dokumen Laporan Tahunan 2025 dan Laporan Kinerja Triwulan II 2025 menunjukkan bahwa program kerja dan pemantauan indikator kinerja utama (IKU) terkait kualitas dan sertifikasi produk pertanian (termasuk organik) sedang berjalan pada tahun 2025.",https://ppvtpp.setjen.pertanian.go.id/publics/get-media/static/laporan_tahunan/moscs-1772683937/laporan-tahunan-pusat-pvtpp-tahun-2025/get-file/laporan_tahunan_a5c445b9-2327-435a-b91d-ff7df8b0b143.pdf,True,1,9.64,2390,319,laporan kinerja Kementerian Pertanian 2025 produksi pertanian organik,,"Program belum berjalan, ditandai dengan tidak ditemukannya bukti publikasi resmi yang menunjukkan adanya program peningkatan produksi komoditas pertanian organik berjalan pada Tahun 2025. Kegiatan yang ditemukan masih pada tahap penyiapan kebijakan, yaitu diskusi kelompok terarah oleh Badan Perakitan dan Modernisasi Pertanian Kementerian Pertanian pada November 2025, yang justru menyimpulkan perlunya pembentukan Otoritas Kompeten Pangan Organik, reorientasi kebijakan, dan revisi peraturan menteri agar selaras dengan SNI 6729:2025 dan RPJMN 2025-2029. Angka persentase produksi pertanian organik Tahun 2025 belum dipublikasikan."
tavily,gemma-4-26B-A4B-it,44,Sosial,KEMENTERIAN SOSIAL,KP 06.03.02 - Jumlah penerima manfaat Kartu Usaha Afirmatif yang berusaha atau bekerja sebagai buruh/karyawan,False,True,False,OK,sedang,"Program Kartu Usaha Afirmatif telah masuk dalam agenda pelaksanaan tahun 2025 sebagai salah satu Program Strategis Nasional (PSN) baru di era pemerintahan saat ini. Berdasarkan laporan kegiatan Rapat Tingkat Menteri (RTM) di Bappenas pada Mei 2026 (yang merujuk pada pelaksanaan/uji coba di tahun 2025), Kemensos sedang melakukan integrasi data dan digitalisasi untuk memperluas uji coba digitalisasi bantuan sosial dan kartu usaha tersebut.",https://www.suara.com/news/2026/05/12/113201/rtm-di-bappenas-luhut-apresiasi-kinerja-kemensos-integrasikan-data-dan-digitalisasi-bansos,True,1,8.71,2324,231,laporan kinerja Kementerian Sosial 2025 Kartu Usaha Afirmatif,,"Program belum berjalan, ditandai dengan tidak ditemukannya bukti pelaksanaan pada 2025. Saat ini, masih berlangsungnya tahap perencanaan dan penyiapan implementasi hingga awal 2026. Rapat Tingkat Menteri yang dipimpin Menko Pemberdayaan Masyarakat pada 26 September 2025 masih membahas perencanaan Program Kartu Kesejahteraan dan Kartu Usaha Afirmatif sebagai bagian dari Program Hasil Terbaik Cepat, dengan Kemensos menegaskan basis data DTSEN dan Kementerian Koperasi dan UMKM menyiapkan platform SAPA UMKM. Pada 12 Februari 2026, BPKP masih melakukan kajian dan koordinasi lintas perangkat daerah untuk mendukung kesiapan implementasi Program Kartu Kesejahteraan dan Kartu Usaha Afirmatif di daerah. Kartu Usaha Afirmatif juga baru ditetapkan sebagai salah satu Proyek Strategis Nasional baru dalam RKP 2026. Tidak ditemukan publikasi resmi yang menunjukkan adanya penerima manfaat KUA pada 2025, sehingga target 1.000.000 jiwa tahun 2025 belum terverifikasi terlaksana."
